item traded|price|volume|time|buy/sell|market/limit|misc
ADACAD|0.049119|3910.63693245|1574719454.1992|b|m|
ADACAD|0.048652|1683.65584325|1574722889.2947|b|m|
ADACAD|0.048652|1.34584799|1574722889.3044|b|m|
ADACAD|0.048652|0.00107582|1574722889.3057|b|m|
ADACAD|0.048652|0.00000086|1574722889.3073|b|m|
ADACAD|0.049275|5999.86932542|1574722889.3081|b|m|
ADACAD|0.049276|2973.17152366|1574722889.3094|b|m|
ADACAD|0.049276|401.69200000|1574722889.3108|b|m|
ADACAD|0.049280|1677.40506161|1574722889.3123|b|m|
ADACAD|0.049379|10.00000000|1574722889.3142|b|m|
ADACAD|0.049539|2287.39564350|1574722889.3159|b|m|
ADACAD|0.049540|1000.00000000|1574722889.3178|b|m|
ADACAD|0.050196|2399.07736396|1574722889.3194|b|m|
ADACAD|0.050197|4244.54147348|1574722889.3211|b|m|
ADACAD|0.050198|3484.58404496|1574722889.3227|b|m|
ADACAD|0.050200|1035.49510656|1574722889.3243|b|m|
ADACAD|0.050200|1.65414554|1574722889.3256|b|m|
ADACAD|0.050200|0.00264240|1574722889.3269|b|m|
ADACAD|0.050200|0.00000422|1574722889.3281|b|m|
ADACAD|0.050806|6.36619467|1574722889.3298|b|m|
ADACAD|0.051292|6.36627773|1574722889.3313|b|m|
ADACAD|0.051582|2374.39125738|1574722889.3335|b|m|
ADACAD|0.052021|6.36627715|1574722889.335|b|m|
ADACAD|0.052994|6.36619639|1574722889.3363|b|m|
ADACAD|0.053848|2400.00000000|1574722889.3385|b|m|
ADACAD|0.053851|80.00000000|1574722889.3399|b|m|
ADACAD|0.055000|1111.00000000|1574722889.3422|b|m|
ADACAD|0.055000|185.00000000|1574722889.345|b|m|
ADACAD|0.055555|89.77700000|1574722889.3477|b|m|
ADACAD|0.056412|3780.48617637|1574722889.3498|b|m|
ADACAD|0.058790|3659.35519682|1574722889.3511|b|m|
ADACAD|0.059500|3711.62000000|1574722889.3535|b|m|
ADACAD|0.059500|983.01432026|1574722889.3557|b|m|
ADACAD|0.049273|791.46375245|1574722889.7436|b|l|
ADACAD|0.049251|790.37732631|1574722890.2371|s|l|
ADACAD|0.049251|1.08642614|1574722890.2546|s|l|
ADACAD|0.048977|790.37732631|1574722890.2568|s|l|
ADACAD|0.048977|1.08642614|1574722890.6739|s|l|
ADACAD|0.048766|984.00000000|1574722983.6021|b|l|
ADACAD|0.048394|92.00000000|1574723395.9396|s|l|
ADACAD|0.047915|10.00000000|1574728399.8048|s|l|
ADACAD|0.047818|747.15914919|1574729528.2212|s|l|
ADACAD|0.047905|1.92881745|1574729665.8384|s|l|
ADACAD|0.048643|301.60000000|1574733841.1473|b|m|
ADACAD|0.048538|535.71016523|1574734633.7433|s|l|
ADACAD|0.048497|717.78559422|1574734788.7947|s|l|
ADACAD|0.049280|10.00000000|1574740224.6404|b|l|
ADACAD|0.048750|2077.54666667|1574751219.7196|s|l|
ADACAD|0.048344|4547.76000000|1574762112.4087|b|l|
ADACAD|0.047921|10.00000000|1574766519.699|s|l|
ADACAD|0.047435|10.00000000|1574776173.7683|s|l|
ADACAD|0.048286|420.00000000|1574778686.8716|s|l|
ADACAD|0.048295|435.44466300|1574784111.9394|b|l|
ADACAD|0.048295|435.44466300|1574784111.9471|b|l|
ADACAD|0.048295|184.83722448|1574784112.1122|b|l|
